//xなし(1)
電圧(mV)	電流(uA)
-10000.0	-3208.0
-9000.0	-2518.0
-8000.0	-1845.0
-7000.0	-1187.0
-6800.0	-1072.0
-6599.0	-953.0
-6400.0	-841.0
-6199.0	-728.0
-6001.0	-623.0
-5799.0	-510.0
-5599.0	-407.0
-5400.0	-307.0
-5199.0	-220.0
-4999.0	-194.0
-3999.0	-142.0
-2999.0	-114.0
-1999.7	-103.0
-999.7	-89.0
-0.2	-56.0
0.000	-71.95
199.1	-34.33
219.1	-14.50
249.0	-5.970
298.8	23.95
349.6	59.33
399.5	88.90
419.4	101.8
439.4	115.8
459.3	129.6
479.3	143.6
499.2	159.6
519.1	176.2
539.1	192.2
559.0	209.6
578.9	228.1
598.9	246.7
799.3	485.4
999.6	808.2
